slug,term,grade,primary_ccss,all_ccss,strand,all_strands,merged,definition,example_1,example_2,key_rule,memory_hook,related_terms,content_status,source_cards
solution-grade-6,Solution,6th,6.EE.B.7,6.EE.B.7,Expressions & Equations,Expressions & Equations,,The value of the variable that makes an equation a true statement.,"x = 7 is the solution to x + 5 = 12, because 7 + 5 = 12.",Check by substituting the value back into the equation.,A solution makes both sides of the equation equal.,The value that makes the equation true.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_solution
substitute-grade-6,Substitute,6th,6.EE.A.2c,6.EE.A.2c,Expressions & Equations,Expressions & Equations,,To replace a variable with a given number so the expression can be evaluated.,Substitute x = 4 into 3x: 3(4) = 12.,"Replace the variable, then evaluate.",Substituting means swapping the variable for its number.,Swap the letter for the number.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_substitute
substitution-grade-6,Substitution,6th,6.EE.A.4,6.EE.A.4,Expressions & Equations,Expressions & Equations,,"Replacing a variable with a given value, often used to check if expressions are equivalent.",Plug x = 4 into both 2(x+3) and 2x+6 — both equal 14.,Substitution tests whether two expressions match.,Use substitution to check if expressions are equivalent.,"Plug in the same number, compare the results.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_substitution
table-grade-6,Table,6th,6.EE.C.9,6.EE.C.9,Expressions & Equations,Expressions & Equations,,An organized arrangement of values in rows and columns showing the relationship between two variables.,A table pairs each input x with its output y.,Tables reveal patterns or rules between two variables.,A table organizes related values to show a pattern.,"Inputs and outputs, side by side.",algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_table
term-grade-6,Term,6th,6.EE.A.3,6.EE.A.3,Expressions & Equations,Expressions & Equations,,A single part of an expression separated by addition or subtraction signs.,"4x + 7 - 2y has three terms: 4x, 7, and 2y.",Terms are separated by + and - signs.,Count the + and - signs to find how many terms there are.,Split the expression at the + and - signs.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_term
variable-grade-6,Variable,6th,6.EE.A.2a,6.EE.A.2a,Expressions & Equations,Expressions & Equations,,A letter or symbol that stands for a number that can change or is unknown.,"In 3x, the variable x can stand for any number.","If x = 4, then 3x = 3(4) = 12.",A variable represents an unknown or changing number.,A letter standing in for a number.,algebraic-expression-grade-6; base-exponents-grade-6; coefficient-grade-6; constant-grade-6,DONE (OCR from card),6_ee_variable
base-area-grade-6,Base Area,6th,6.G.A.2,6.G.A.2,Geometry,Geometry,,The area of the base face of a solid; volume equals base area times height.,A base with length 4 and width 3 has base area = 4×3 = 12.,V = base area × height = 12 × height.,Volume equals base area multiplied by height.,"The floor's area, then stack up the height.",base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6; edge-length-grade-6,DONE (OCR from card),6_g_base area
base-geometry-grade-6,Base (Geometry),6th,6.G.A.1,6.G.A.1,Geometry,Geometry,,A side of a polygon from which the perpendicular height is measured.,Any side of a figure can be chosen as the base.,The height is measured perpendicular to the base.,The height must be measured perpendicular to the base.,The side you measure height up from.,base-area-grade-6; cubic-units-grade-6; decompose-grade-6; edge-length-grade-6,DONE (OCR from card),6_g_base
cubic-units-grade-6,Cubic Units,6th,6.G.A.2,6.G.A.2,Geometry,Geometry,,"The units used to measure volume, each a cube measuring one unit on every side.",A 4×4×3 solid has a volume of 36 cubic units.,One cubic unit is a cube one unit long on every edge.,Volume is always measured in cubic units.,Count the little cubes that fill the space.,base-area-grade-6; base-geometry-grade-6; decompose-grade-6; edge-length-grade-6,DONE (OCR from card),6_g_cubic units
decompose-grade-6,Decompose,6th,6.G.A.1,6.G.A.1,Geometry,Geometry,,"To break a figure into smaller, simpler shapes to make area easier to find.","Break an L-shape into two rectangles: 5×4=20 and 8×3=24, total 44 square units.","Find each simple area, then add them together.",Decomposing breaks a complex figure into shapes you already know how to measure.,Split it into pieces you can handle.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; edge-length-grade-6,DONE (OCR from card),6_g_decompose
edge-length-grade-6,Edge Length,6th,6.G.A.2,6.G.A.2,Geometry,Geometry,,"The length of one edge of a three-dimensional figure, where two faces meet. It can be a fraction.",Each edge of a small cube can be 1/2 unit long.,Edge length can be a whole number or a fraction.,An edge is where two faces of a solid meet.,"The length of one edge, sometimes a fraction.",base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_edge length
face-grade-6,Face,6th,6.G.A.4,6.G.A.4,Geometry,Geometry,,"A flat, two-dimensional surface of a solid figure.",A cube has 6 faces.,Each face is a flat surface of the solid.,Count the flat surfaces to find how many faces a solid has.,One flat surface of a 3D shape.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_face
height-grade-6,Height,6th,6.G.A.1,6.G.A.1,Geometry,Geometry,,The perpendicular distance from the base of a figure to the opposite side or vertex.,The height forms a square corner (perpendicular) with the base.,"Height is measured straight up from the base, not along a slanted side.",Height must be perpendicular to the base.,"Straight up from the base, not slanted.",base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_height
horizontal-side-grade-6,Horizontal Side,6th,6.G.A.3,6.G.A.3,Geometry,Geometry,,A side that runs left to right; its length is the difference of the x-coordinates.,"Top side from (1,3) to (4,3): length = |4-1| = 3.",Subtract the x-coordinates of the endpoints.,Find a horizontal side's length by subtracting x-coordinates.,Left-right side — subtract the x's.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_horizontal side
net-grade-6,Net,6th,6.G.A.4,6.G.A.4,Geometry,Geometry,,A two-dimensional pattern that can be folded to form a three-dimensional figure.,A net unfolds a 3D solid into flat 2D faces.,Folding the flat pattern back up recreates the solid.,A net shows every face of a solid laid out flat.,Unfold the solid into a flat pattern.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_net
parallelogram-grade-6,Parallelogram,6th,6.G.A.1,6.G.A.1,Geometry,Geometry,,A quadrilateral with two pairs of parallel sides; its area is base times height.,A = base × height = 12 × 7 = 84 square units.,A parallelogram has two pairs of parallel sides.,Area of a parallelogram is base times height.,Slanted rectangle — same area formula.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_parallelogram
perimeter-grade-6,Perimeter,6th,6.G.A.3,6.G.A.3,Geometry,Geometry,,The total distance around the outside of a two-dimensional figure.,P = 5 + 3 + 5 + 3 (add the lengths of all sides).,Perimeter is the total distance around a figure.,Add up every side's length to find the perimeter.,Walk all the way around and add up the distance.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_perimeter
polygon-grade-6,Polygon,6th,6.G.A.3,6.G.A.3,Geometry,Geometry,,A closed two-dimensional figure formed by three or more straight line segments.,"Triangles, pentagons, and hexagons are all polygons.",A circle is NOT a polygon — it has no straight sides.,"A polygon must be closed, with only straight sides — no curves or gaps.","Closed shape, straight sides only.",base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_polygon
prism-grade-6,Prism,6th,6.G.A.4,6.G.A.4,Geometry,Geometry,,A three-dimensional figure with two identical parallel bases joined by rectangular faces.,A triangular prism has two triangular bases.,A rectangular prism has two rectangular bases.,A prism's two bases are identical and parallel.,"Two matching ends, joined by rectangles.",base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_prism
quadrilateral-grade-6,Quadrilateral,6th,6.G.A.3,6.G.A.3,Geometry,Geometry,,A polygon with four sides and four vertices.,"Squares, rectangles, and trapezoids are all quadrilaterals.",'Quad' means four — four sides.,Any closed figure with exactly four straight sides is a quadrilateral.,"Four sides, closed shape.",base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_quadrilateral
surface-area-grade-6,Surface Area,6th,6.G.A.4,6.G.A.4,Geometry,Geometry,,The total area of all the outer faces of a three-dimensional figure.,A cube with six 4-square-unit faces has surface area = 6×4 = 24 square units.,Add up each face's area to find the total surface area.,Surface area is the sum of the areas of all faces.,Add up every face's area.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_surface area
trapezoid-grade-6,Trapezoid,6th,6.G.A.1,6.G.A.1,Geometry,Geometry,,A quadrilateral with exactly one pair of parallel sides.,A trapezoid has exactly one pair of parallel sides.,Decompose it into triangles or rectangles to find its area.,Only one pair of sides is parallel in a trapezoid.,"One pair of parallel sides, not two.",base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_trapezoid
vertical-side-grade-6,Vertical Side,6th,6.G.A.3,6.G.A.3,Geometry,Geometry,,A side that runs up and down; its length is the difference of the y-coordinates.,"Left side from (1,1) to (1,3): length = |3-1| = 2.",Subtract the y-coordinates of the endpoints.,Find a vertical side's length by subtracting y-coordinates.,Up-down side — subtract the y's.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_vertical side
vertices-grade-6,Vertices,6th,6.G.A.3,6.G.A.3,Geometry,Geometry,,The corner points of a polygon where two sides meet (singular: vertex).,A triangle has three vertices.,"Vertices are named by their coordinates, like (3, 5).",A vertex is a corner where two sides meet.,"The corners, where sides meet.",base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_vertices
volume-grade-6,Volume,6th,6.G.A.2,6.G.A.2,Geometry,Geometry,,"The amount of space inside a three-dimensional figure, measured in cubic units.",V = 4 × 3 × 2 = 24 cubic units.,"For a prism, V = length × width × height.",Volume is always measured in cubic units.,How much space fits inside.,base-area-grade-6; base-geometry-grade-6; cubic-units-grade-6; decompose-grade-6,DONE (OCR from card),6_g_volume
box-plot-grade-6,Box Plot,6th,6.SP.B.4,6.SP.B.4,Statistics & Probability,Statistics & Probability,,"A graph that shows the five-number summary — minimum, Q1, median, Q3, and maximum.","A box plot displays min, Q1, median, Q3, and max of a data set.","The box spans from Q1 to Q3, with a line at the median.",A box plot shows five key values at once.,"Five numbers, one picture.",center-grade-6; data-grade-6; distribution-grade-6; dot-plot-grade-6,DONE (OCR from card),6_sp_box plot
center-grade-6,Center,6th,6.SP.A.2,6.SP.A.2,Statistics & Probability,Statistics & Probability,,A single value that represents the middle or typical value of a data set.,The center is measured by the mean or the median.,It gives a sense of the 'typical' value.,Center can be measured by the mean or the median.,The typical or middle value.,box-plot-grade-6; data-grade-6; distribution-grade-6; dot-plot-grade-6,DONE (OCR from card),6_sp_center
data-grade-6,Data,6th,6.SP.A.1,6.SP.A.1,Statistics & Probability,Statistics & Probability,,"The collection of facts, numbers, or measurements gathered to answer a question.","A set of collected values like 4, 7, 5, 8, 6 is data.",Data answers a specific question.,Data are facts or numbers collected to answer a question.,The numbers you collect to answer a question.,box-plot-grade-6; center-grade-6; distribution-grade-6; dot-plot-grade-6,DONE (OCR from card),6_sp_data
distribution-grade-6,Distribution,6th,6.SP.A.2,6.SP.A.2,Statistics & Probability,Statistics & Probability,,"The overall pattern of a data set, described by its center, spread, and shape.",A distribution shows how data is spread overall.,"Describe it using center, spread, and shape together.","A distribution is described by center, spread, and shape.","The whole pattern, not just one number.",box-plot-grade-6; center-grade-6; data-grade-6; dot-plot-grade-6,DONE (OCR from card),6_sp_distribution
dot-plot-grade-6,Dot Plot,6th,6.SP.B.4,6.SP.B.4,Statistics & Probability,Statistics & Probability,,A graph that shows each data value as a dot above a number line.,Each dot represents one data value.,Stacks of dots show frequency.,A dot plot shows every individual data value as a dot.,"One dot per value, stacked above the number line.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_dot plot
frequency-grade-6,Frequency,6th,6.SP.B.4,6.SP.B.4,Statistics & Probability,Statistics & Probability,,The number of times a particular value or category occurs in a data set.,"If a value appears 3 times, its frequency is 3.",Tally marks help count frequency.,Frequency counts how many times a value occurs.,How many times it shows up.,box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_frequency
histogram-grade-6,Histogram,6th,6.SP.B.4,6.SP.B.4,Statistics & Probability,Statistics & Probability,,"A bar graph that shows the frequency of data within equal intervals, with bars that touch.","A histogram groups test scores into intervals like 50-59, 60-69, etc.",Bars touch because the intervals are continuous.,Histogram bars touch — there are no gaps between intervals.,"Bars that touch, grouped by interval.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_histogram
interquartile-range-grade-6,Interquartile Range,6th,6.SP.B.5,6.SP.B.5,Statistics & Probability,Statistics & Probability,,"The difference Q3 - Q1, measuring the spread of the middle 50% of the data.","If Q1 = 3 and Q3 = 7, IQR = 7 - 3 = 4.",IQR measures the spread of just the middle half of the data.,IQR = Q3 minus Q1.,"The middle 50%, measured.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_interquartile range
mean-absolute-deviation-grade-6,Mean Absolute Deviation,6th,6.SP.B.5,6.SP.B.5,Statistics & Probability,Statistics & Probability,,The average of how far each data value is from the mean.,"For a data set with mean 5, find each |value - 5|, then average those distances.",MAD = sum of distances ÷ number of values.,MAD is the average distance of values from the mean.,"On average, how far from the mean?",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_mean absolute deviation
mean-grade-6,Mean,6th,6.SP.A.3,6.SP.A.3,Statistics & Probability,Statistics & Probability,,"The average of a data set, found by adding all values and dividing by the number of values.","2+4+5+6+8 = 25, and 25 ÷ 5 = 5. The mean is 5.",The mean 'evens out' the data into a fair share.,Mean = sum of values ÷ number of values.,"Add them all up, divide by how many.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_mean
measure-of-variation-grade-6,Measure of Variation,6th,6.SP.A.3,6.SP.A.3,Statistics & Probability,Statistics & Probability,,"A value that describes how spread out a data set is, like range or IQR.",Range and IQR are both measures of variation.,"A measure of variation describes spread, not center.",Range and IQR both describe how spread out the data is.,"How spread out, not where the middle is.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_measure of variation
median-grade-6,Median,6th,6.SP.A.3,6.SP.A.3,Statistics & Probability,Statistics & Probability,,The middle value of a data set when the values are arranged in order.,"In 3, 5, 7, 9, 11, the median is 7 (the middle).","For an even count, average the two middle values.","Order the data first, then find the middle value.","Order it, then find the middle.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_median
non-statistical-question-grade-6,Non-Statistical Question,6th,6.SP.A.1,6.SP.A.1,Statistics & Probability,Statistics & Probability,,A question with one exact answer and no variability in the data.,'How tall is Maria?' has one exact answer — 5 ft 1 in.,There's no variety in the answer to a non-statistical question.,"A non-statistical question has a single, definite answer.","One exact answer, no variety.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_non statistical question
outlier-grade-6,Outlier,6th,6.SP.B.5,6.SP.B.5,Statistics & Probability,Statistics & Probability,,A data value that lies far away from the other values in a data set.,"In a set clustered around 5-10, a value of 24 is an outlier.",Outliers can pull the mean away from the rest of the data.,An outlier is much larger or smaller than the rest of the data.,The value that doesn't fit with the rest.,box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_outlier
quartile-grade-6,Quartile,6th,6.SP.B.5,6.SP.B.5,Statistics & Probability,Statistics & Probability,,"One of three values (Q1, Q2, Q3) that divide ordered data into four equal parts.",Q2 is the median; Q1 and Q3 are the medians of the lower and upper halves.,Quartiles split the data into quarters.,Quartiles divide ordered data into four equal parts.,Split the data into four equal chunks.,box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_quartile
range-grade-6,Range,6th,6.SP.A.3,6.SP.A.3,Statistics & Probability,Statistics & Probability,,The difference between the largest and smallest values in a data set.,"For 3, 5, 7, 9, 11: range = 11 - 3 = 8.",Range = highest value minus lowest value.,Subtract the smallest value from the largest to find the range.,Highest minus lowest.,box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_range
shape-grade-6,Shape,6th,6.SP.A.2,6.SP.A.2,Statistics & Probability,Statistics & Probability,,"The overall form of a data distribution, such as symmetric, skewed right, or skewed left.",A symmetric distribution looks the same on both sides of the center.,A skewed-right distribution has a tail stretching to the right.,"Shape describes symmetric, skewed-right, or skewed-left patterns.","Symmetric, or skewed one way or the other.",box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_shape
spread-grade-6,Spread,6th,6.SP.A.2,6.SP.A.2,Statistics & Probability,Statistics & Probability,,A description of how much the values in a data set vary or stretch out.,"Spread shows how far data reaches, from lowest to highest.",A wider spread means more variability.,Spread tells how much the data varies from lowest to highest.,How far the data stretches out.,box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_spread
statistical-question-grade-6,Statistical Question,6th,6.SP.A.1,6.SP.A.1,Statistics & Probability,Statistics & Probability,,A question that anticipates variability in the data and has many different answers.,'How tall are the students in my class?' expects many different answers.,Statistical questions have variety built into the answers.,A statistical question expects a range of different answers.,Expect lots of different answers.,box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_statistical question
variability-grade-6,Variability,6th,6.SP.A.1,6.SP.A.1,Statistics & Probability,Statistics & Probability,,The amount that data values differ or spread out from each other.,Spread-out data shows high variability.,Tightly clustered data shows low variability.,Variability measures how much data values differ from one another.,How much the values differ from each other.,box-plot-grade-6; center-grade-6; data-grade-6; distribution-grade-6,DONE (OCR from card),6_sp_variability
